"INSEE";"DEPT";"NUMCANTON"
"02293";"02";"03"
"02294";"02";"38"
"02295";"02";"05"
"02296";"02";"33"
"02297";"02";"08"
"02298";"02";"37"
"02299";"02";"21"
"02301";"02";"01"
"02302";"02";"36"
"02303";"02";"33"
"02304";"02";"14"
"02305";"02";"15"
"02306";"02";"25"
"02307";"02";"22"
"02308";"02";"23"
"02309";"02";"38"
"02310";"02";"39"
"02311";"02";"32"
"02312";"02";"05"
"02313";"02";"16"
"02315";"02";"29"
"02316";"02";"36"
"02317";"02";"33"
"02318";"02";"11"
"02319";"02";"39"
"02320";"02";"29"
"02321";"02";"34"
"02322";"02";"39"
"02323";"02";"03"
"02324";"02";"05"
"02325";"02";"10"
"02326";"02";"35"
"02327";"02";"33"
"02328";"02";"08"
"02329";"02";"14"
"02330";"02";"33"
"02331";"02";"27"
"02332";"02";"15"
"02333";"02";"11"
"02334";"02";"03"
"02335";"02";"14"
"02336";"02";"09"
"02337";"02";"05"
"02338";"02";"19"
"02339";"02";"22"
"02340";"02";"40"
"02341";"02";"34"
"02342";"02";"05"
"02343";"02";"33"
"02344";"02";"21"
"02345";"02";"20"
"02346";"02";"30"
"02347";"02";"08"
"02348";"02";"04"
"02349";"02";"12"
"02350";"02";"30"
"02351";"02";"15"
"02352";"02";"06"
"02353";"02";"19"
"02354";"02";"26"
"02355";"02";"33"
"02356";"02";"22"
"02357";"02";"34"
"02358";"02";"37"
"02359";"02";"29"
"02360";"02";"21"
"02361";"02";"16"
"02362";"02";"09"
"02363";"02";"11"
"02364";"02";"21"
"02366";"02";"37"
"02367";"02";"29"
"02368";"02";"36"
"02369";"02";"34"
"02370";"02";"06"
"02371";"02";"40"
"02372";"02";"24"
"02373";"02";"34"
"02374";"02";"06"
"02375";"02";"22"
"02376";"02";"16"
"02377";"02";"34"
"02378";"02";"17"
"02379";"02";"27"
"02380";"02";"20"
"02381";"02";"17"
"02382";"02";"33"
"02383";"02";"40"
"02384";"02";"34"
"02385";"02";"27"
"02386";"02";"16"
"02387";"02";"20"
"02388";"02";"02"
"02389";"02";"10"
"02390";"02";"33"
"02391";"02";"02"
"02392";"02";"06"
"02393";"02";"04"
"02395";"02";"11"
"02396";"02";"12"
"02397";"02";"29"
"02398";"02";"31"
"02399";"02";"21"
"02400";"02";"32"
"02401";"02";"34"
"02402";"02";"33"
"02403";"02";"27"
"02404";"02";"34"
"02405";"02";"02"
"02406";"02";"11"
"02407";"02";"01"
"02408";"02";"18"
"02408";"02";"38"
"02408";"02";"97"
"02409";"02";"30"
"02410";"02";"36"
"02411";"02";"22"
"02412";"02";"24"
"02413";"02";"01"
"02414";"02";"16"
"02415";"02";"35"
"02416";"02";"27"
"02417";"02";"06"
"02418";"02";"05"
"02419";"02";"23"
"02420";"02";"39"
"02421";"02";"04"
"02422";"02";"16"
"02423";"02";"11"
"02424";"02";"31"
"02425";"02";"02"
"02426";"02";"06"
"02427";"02";"04"
"02428";"02";"22"
"02429";"02";"12"
"02430";"02";"30"
"02431";"02";"42"
"02432";"02";"04"
"02433";"02";"26"
"02434";"02";"01"
"02435";"02";"02"
"02438";"02";"36"
"02439";"02";"04"
"02440";"02";"21"
"02441";"02";"36"
"02442";"02";"15"
"02443";"02";"07"
"02444";"02";"34"
"02445";"02";"05"
"02446";"02";"20"
"02447";"02";"24"
"02448";"02";"30"
"02449";"02";"22"
"02450";"02";"16"
"02451";"02";"06"
"02452";"02";"33"
"02453";"02";"21"
"02454";"02";"21"
"02455";"02";"16"
"02456";"02";"11"
"02457";"02";"30"
"02458";"02";"10"
"02459";"02";"39"
"02460";"02";"19"
"02461";"02";"09"
"02462";"02";"15"
"02463";"02";"27"
"02464";"02";"32"
"02465";"02";"08"
"02466";"02";"22"
"02467";"02";"22"
"02468";"02";"19"
"02469";"02";"16"
"02470";"02";"02"
"02471";"02";"12"
"02472";"02";"30"
"02473";"02";"14"
"02474";"02";"42"
"02475";"02";"21"
"02476";"02";"37"
"02477";"02";"41"
"02478";"02";"01"
"02479";"02";"04"
"02480";"02";"13"
"02481";"02";"40"
"02482";"02";"21"
"02483";"02";"20"
"02484";"02";"10"
"02485";"02";"41"
"02486";"02";"30"
"02487";"02";"32"
"02488";"02";"37"
"02489";"02";"18"
"02490";"02";"01"
"02491";"02";"27"
"02492";"02";"14"
"02493";"02";"19"
"02494";"02";"16"
"02495";"02";"17"
"02496";"02";"22"
"02497";"02";"01"
"02498";"02";"30"
"02499";"02";"01"
"02500";"02";"03"
"02501";"02";"38"
"02502";"02";"26"
"02503";"02";"25"
"02504";"02";"29"
"02505";"02";"07"
"02506";"02";"36"
"02507";"02";"24"
"02508";"02";"12"
"02509";"02";"22"
"02510";"02";"10"
"02511";"02";"03"
"02512";"02";"22"
"02513";"02";"19"
"02514";"02";"35"
"02515";"02";"10"
"02516";"02";"19"
"02517";"02";"13"
"02518";"02";"10"
"02519";"02";"26"
"02520";"02";"04"
"02521";"02";"07"
"02522";"02";"02"
"02523";"02";"04"
"02524";"02";"08"
"02525";"02";"39"
"02526";"02";"26"
"02527";"02";"35"
"02528";"02";"35"
"02529";"02";"13"
"02530";"02";"12"
"02531";"02";"12"
"02532";"02";"20"
"02533";"02";"24"
"02534";"02";"21"
"02535";"02";"34"
"02536";"02";"24"
"02537";"02";"32"
"02538";"02";"15"
"02539";"02";"06"
"02540";"02";"08"
"02541";"02";"21"
"02542";"02";"09"
"02543";"02";"22"
"02544";"02";"17"
"02545";"02";"19"
"02546";"02";"09"
"02547";"02";"27"
"02548";"02";"23"
"02549";"02";"40"
"02550";"02";"12"
"02551";"02";"32"
"02552";"02";"25"
"02553";"02";"30"
"02554";"02";"08"
"02555";"02";"07"
"02556";"02";"26"
"02557";"02";"36"
"02558";"02";"23"
"02559";"02";"13"
"02560";"02";"13"
"02561";"02";"38"
"02562";"02";"35"
"02563";"02";"16"
"02564";"02";"41"
"02565";"02";"12"
"02566";"02";"09"
"02567";"02";"17"
"02568";"02";"36"
"02569";"02";"37"
"02570";"02";"29"
"02571";"02";"39"
"02572";"02";"21"
"02573";"02";"38"
"02574";"02";"17"
